@@@COMP|motion|ARGS=[special]
Component Pins:
Owner   Type  Dir                 Value  Name
    13  float OUT                     0  axis.a.eoffset
    13  bit   IN                  FALSE  axis.a.eoffset-clear
    13  s32   IN                      0  axis.a.eoffset-counts
    13  bit   IN                  FALSE  axis.a.eoffset-enable
    13  float OUT                     0  axis.a.eoffset-request
    13  float IN                      0  axis.a.eoffset-scale
    13  float IN                      1  axis.a.jog-accel-fraction
    13  s32   IN                      0  axis.a.jog-counts
    13  bit   IN                  FALSE  axis.a.jog-enable
    13  float IN                      0  axis.a.jog-scale
    13  bit   IN                  FALSE  axis.a.jog-vel-mode
    13  bit   OUT                 FALSE  axis.a.kb-jog-active
    13  float OUT                     0  axis.a.pos-cmd
    13  float OUT                     0  axis.a.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.a.teleop-tp-enable
    13  float OUT                     0  axis.a.teleop-vel-cmd
    13  float OUT                     0  axis.a.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.a.wheel-jog-active
    13  float OUT                     0  axis.b.eoffset
    13  bit   IN                  FALSE  axis.b.eoffset-clear
    13  s32   IN                      0  axis.b.eoffset-counts
    13  bit   IN                  FALSE  axis.b.eoffset-enable
    13  float OUT                     0  axis.b.eoffset-request
    13  float IN                      0  axis.b.eoffset-scale
    13  float IN                      1  axis.b.jog-accel-fraction
    13  s32   IN                      0  axis.b.jog-counts
    13  bit   IN                  FALSE  axis.b.jog-enable
    13  float IN                      0  axis.b.jog-scale
    13  bit   IN                  FALSE  axis.b.jog-vel-mode
    13  bit   OUT                 FALSE  axis.b.kb-jog-active
    13  float OUT                     0  axis.b.pos-cmd
    13  float OUT                     0  axis.b.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.b.teleop-tp-enable
    13  float OUT                     0  axis.b.teleop-vel-cmd
    13  float OUT                     0  axis.b.teleop-vel-lim
    13  bit   OUT                 FALSE  axis.b.wheel-jog-active
    13  float OUT                     0  axis.c.eoffset
    13  bit   IN                  FALSE  axis.c.eoffset-clear
    13  s32   IN                      0  axis.c.eoffset-counts
    13  bit   IN                  FALSE  axis.c.eoffset-enable
    13  float OUT                     0  axis.c.eoffset-request
    13  float IN                      0  axis.c.eoffset-scale
    13  float IN                      1  axis.c.jog-accel-fraction
    13  s32   IN                      0  axis.c.jog-counts
    13  bit   IN                  FALSE  axis.c.jog-enable
    13  float IN                      0  axis.c.jog-scale
    13  bit   IN                  FALSE  axis.c.jog-vel-mode
    13  bit   OUT                 FALSE  axis.c.kb-jog-active
    13  float OUT                     0  axis.c.pos-cmd
    13  float OUT                     0  axis.c.teleop-pos-cmd
    13  bit   OUT                 FALSE  axis.c.teleop-tp-enable
